Latitude (decimal degrees):	10.738
Longitude (decimal degrees):	122.543
Elevation (m):	10
Radiation database:	PVGIS-ERA5


Slope: - deg. 
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200412:2330,617.51,814.25,25.78,26.7,1.93,0.0
20200413:0030,724.8,980.17,40.6,28.5,2.41,0.0
20200413:0130,755.46,1038.71,55.33,29.86,2.34,0.0
20200413:0230,746.51,1030.73,70.06,31.01,2.34,0.0
20200413:0330,688.89,941.41,84.63,31.88,2.55,0.0
20200413:0430,692.09,944.98,80.18,32.44,2.83,0.0
20200413:0530,711.33,976.76,65.49,32.76,2.97,0.0
20200413:0630,649.47,879.03,50.76,33.19,3.17,0.0
20200413:0730,529.34,709.02,36.03,32.78,2.21,0.0
20200413:0830,505.14,665.64,21.34,32.42,2.97,0.0
20200413:0930,242.42,315.07,6.71,32.0,3.93,0.0
20200413:1030,0.0,0.0,0.0,30.81,4.41,0.0
20200413:1130,0.0,0.0,0.0,29.68,4.21,0.0
20200413:1230,0.0,0.0,0.0,29.04,3.66,0.0
20200413:1330,0.0,0.0,0.0,28.5,3.66,0.0
20200413:1430,0.0,0.0,0.0,27.95,3.79,0.0
20200413:1530,0.0,0.0,0.0,27.54,3.72,0.0
20200413:1630,0.0,0.0,0.0,27.13,3.79,0.0
20200413:1730,0.0,0.0,0.0,26.64,3.86,0.0
20200413:1830,0.0,0.0,0.0,26.24,3.79,0.0
20200413:1930,0.0,0.0,0.0,25.86,3.24,0.0
20200413:2030,0.0,0.0,0.0,25.55,3.03,0.0
20200413:2130,0.0,0.0,-3.34,25.33,3.03,0.0
20200413:2230,409.16,514.78,11.24,25.32,2.9,0.0
20200413:2330,604.88,780.94,25.89,26.07,3.1,0.0
20200414:0030,648.83,850.71,40.7,27.39,3.03,0.0
20200414:0130,659.47,874.6,55.43,28.59,2.9,0.0
20200414:0230,657.45,880.52,70.16,29.58,2.69,0.0
20200414:0330,676.22,911.7,84.8,30.5,2.62,0.0
20200414:0430,657.82,885.93,80.17,31.29,2.76,0.0
20200414:0530,584.17,779.51,65.46,31.89,3.03,0.0
20200414:0630,557.46,737.63,50.73,31.92,3.31,0.0
20200414:0730,504.01,659.06,36.01,31.7,3.59,0.0
20200414:0830,492.27,639.6,21.33,31.4,3.79,0.0
20200414:0930,292.25,375.51,6.71,30.89,4.0,0.0
20200414:1030,0.0,0.0,0.0,30.07,4.21,0.0
20200414:1130,0.0,0.0,0.0,29.34,4.21,0.0
20200414:1230,0.0,0.0,0.0,28.79,4.21,0.0
20200414:1330,0.0,0.0,0.0,28.22,4.48,0.0
20200414:1430,0.0,0.0,0.0,27.79,4.76,0.0
20200414:1530,0.0,0.0,0.0,27.37,4.83,0.0
20200414:1630,0.0,0.0,0.0,26.96,4.48,0.0
20200414:1730,0.0,0.0,0.0,26.6,4.0,0.0
20200414:1830,0.0,0.0,0.0,26.31,3.79,0.0
20200414:1930,0.0,0.0,0.0,26.3,3.72,0.0
20200414:2030,0.0,0.0,0.0,26.11,3.31,0.0
20200414:2130,0.0,0.0,-3.2,25.94,2.9,0.0
20200414:2230,462.1,587.09,11.36,25.89,2.69,0.0
20200414:2330,649.26,850.75,26.01,27.22,2.97,0.0
20200415:0030,694.23,924.17,40.8,28.66,3.03,0.0
20200415:0130,728.96,985.24,55.52,29.77,2.97,0.0
20200415:0230,736.29,1003.67,70.26,30.85,2.9,0.0
20200415:0330,693.75,942.58,84.95,31.77,2.83,0.0
20200415:0430,691.46,946.3,80.16,32.15,2.62,0.0
20200415:0530,674.8,923.26,65.43,32.66,2.55,0.0
20200415:0630,571.71,768.86,50.7,32.91,2.55,0.0
20200415:0730,533.16,712.45,35.99,32.8,2.41,0.0
20200415:0830,431.49,567.84,21.31,32.36,2.21,0.0
20200415:0930,299.42,388.98,6.7,31.66,2.41,0.0
20200415:1030,0.0,0.0,0.0,31.01,2.41,0.0
20200415:1130,0.0,0.0,0.0,30.2,1.52,0.0
20200415:1230,0.0,0.0,0.0,29.51,1.24,0.0
20200415:1330,0.0,0.0,0.0,28.62,1.03,0.0
20200415:1430,0.0,0.0,0.0,28.02,1.24,0.0
20200415:1530,0.0,0.0,0.0,27.5,1.66,0.0
20200415:1630,0.0,0.0,0.0,27.11,1.86,0.0
20200415:1730,0.0,0.0,0.0,26.9,2.07,0.0
20200415:1830,0.0,0.0,0.0,26.73,2.41,0.0
20200415:1930,0.0,0.0,0.0,26.59,2.76,0.0
20200415:2030,0.0,0.0,0.0,26.36,2.97,0.0
20200415:2130,0.0,0.0,-3.06,26.22,3.1,0.0
20200415:2230,416.39,527.06,11.48,26.08,2.97,0.0
20200415:2330,634.97,827.31,26.11,27.3,3.31,0.0
20200416:0030,688.58,908.42,40.9,28.84,3.79,0.0
20200416:0130,678.69,903.29,55.61,30.22,3.79,0.0
20200416:0230,685.22,918.11,70.35,31.37,3.72,0.0
20200416:0330,661.85,889.24,85.07,32.3,3.72,0.0
20200416:0430,695.64,941.51,80.13,32.94,3.79,0.0
20200416:0530,644.92,868.37,65.39,33.53,3.72,0.0
20200416:0630,653.28,879.9,50.66,33.5,3.72,0.0
20200416:0730,587.69,781.37,35.96,33.74,4.14,0.0
20200416:0830,534.84,701.07,21.3,33.34,4.62,0.0
20200416:0930,316.94,408.42,6.7,32.56,5.03,0.0
20200416:1030,0.0,0.0,0.0,31.3,4.83,0.0
20200416:1130,0.0,0.0,0.0,30.27,4.9,0.0
20200416:1230,0.0,0.0,0.0,29.46,4.76,0.0
20200416:1330,0.0,0.0,0.0,28.77,4.62,0.0
20200416:1430,0.0,0.0,0.0,28.23,4.69,0.0
20200416:1530,0.0,0.0,0.0,27.87,4.69,0.0
20200416:1630,0.0,0.0,0.0,27.45,4.62,0.0
20200416:1730,0.0,0.0,0.0,27.18,4.55,0.0
20200416:1830,0.0,0.0,0.0,26.84,4.07,0.0
20200416:1930,0.0,0.0,0.0,27.05,3.93,0.0
20200416:2030,0.0,0.0,0.0,26.87,3.59,0.0
20200416:2130,0.0,0.0,-2.93,26.7,3.31,0.0
20200416:2230,498.71,634.53,11.6,26.66,3.38,0.0
20200416:2330,612.28,792.06,26.22,27.88,3.93,0.0
20200417:0030,621.86,811.85,40.99,29.26,4.07,0.0
20200417:0130,683.08,908.18,55.7,30.39,3.86,0.0
20200417:0230,683.11,912.93,70.43,31.32,3.79,0.0
20200417:0330,663.6,888.32,85.16,32.2,3.79,0.0
20200417:0430,665.31,892.18,80.09,32.89,4.0,0.0
20200417:0530,661.17,888.16,65.35,33.31,4.07,0.0
20200417:0630,663.0,888.93,50.63,33.55,4.34,0.0
20200417:0730,510.55,671.13,35.94,33.55,4.34,0.0
20200417:0830,468.18,608.02,21.29,32.86,4.62,0.0
20200417:0930,344.53,442.22,6.7,32.09,5.1,0.0
20200417:1030,0.0,0.0,0.0,30.93,4.9,0.0
20200417:1130,0.0,0.0,0.0,29.83,5.1,0.0
20200417:1230,0.0,0.0,0.0,29.0,4.69,0.0
20200417:1330,0.0,0.0,0.0,28.5,4.62,0.0
20200417:1430,0.0,0.0,0.0,28.1,4.9,0.0
20200417:1530,0.0,0.0,0.0,27.53,4.62,0.0
20200417:1630,0.0,0.0,0.0,27.14,4.34,0.0
20200417:1730,0.0,0.0,0.0,26.9,4.14,0.0
20200417:1830,0.0,0.0,0.0,26.75,3.86,0.0
20200417:1930,0.0,0.0,0.0,26.73,3.72,0.0
20200417:2030,0.0,0.0,0.0,26.67,3.52,0.0
20200417:2130,0.0,0.0,-2.8,26.64,3.52,0.0
20200417:2230,471.38,598.69,11.72,26.66,3.31,0.0
20200417:2330,631.35,819.2,26.33,27.69,3.79,0.0
20200418:0030,701.13,926.77,41.08,29.03,3.86,0.0
20200418:0130,699.26,933.18,55.78,30.41,3.86,0.0
20200418:0230,694.16,930.14,70.5,31.62,3.93,0.0
20200418:0330,635.88,844.25,85.23,32.66,4.21,0.0
20200418:0430,708.79,952.95,80.04,33.29,4.69,0.0
20200418:0530,576.14,758.55,65.31,33.68,5.03,0.0
20200418:0630,465.09,607.58,50.6,32.92,4.69,0.0
20200418:0730,551.69,722.31,35.91,32.63,4.97,0.0
20200418:0830,478.37,619.77,21.27,32.36,4.9,0.0
20200418:0930,298.65,384.11,6.7,31.34,4.34,0.0
20200418:1030,0.0,0.0,0.0,30.47,4.41,0.0
20200418:1130,0.0,0.0,0.0,29.61,4.9,0.0
20200418:1230,0.0,0.0,0.0,28.72,5.17,0.0
20200418:1330,0.0,0.0,0.0,28.08,5.03,0.0
20200418:1430,0.0,0.0,0.0,27.72,4.97,0.0
20200418:1530,0.0,0.0,0.0,27.46,4.97,0.0
20200418:1630,0.0,0.0,0.0,27.2,4.76,0.0
20200418:1730,0.0,0.0,0.0,27.01,4.69,0.0
20200418:1830,0.0,0.0,0.0,26.82,4.55,0.0
20200418:1930,0.0,0.0,0.0,27.02,4.55,0.0
20200418:2030,0.0,0.0,0.0,26.92,4.55,0.0
20200418:2130,0.0,0.0,-2.67,26.78,4.62,0.0
20200418:2230,458.03,576.19,11.83,26.78,4.76,0.0
20200418:2330,605.65,773.1,26.43,27.57,5.31,0.0
20200419:0030,629.52,810.91,41.17,28.89,5.86,0.0
20200419:0130,658.47,854.87,55.85,30.11,6.14,0.0
20200419:0230,720.38,949.08,70.56,31.31,6.14,0.0
20200419:0330,712.71,941.61,85.27,32.32,6.0,0.0
20200419:0430,658.15,869.92,79.97,33.01,5.72,0.0
20200419:0530,712.93,951.69,65.26,33.25,5.52,0.0
20200419:0630,587.37,773.21,50.56,33.51,5.45,0.0
20200419:0730,614.99,812.58,35.89,33.35,5.03,0.0
20200419:0830,511.16,664.85,21.26,32.89,5.1,0.0
20200419:0930,301.98,388.2,6.71,31.91,5.38,0.0
20200419:1030,0.0,0.0,0.0,30.62,4.97,0.0
20200419:1130,0.0,0.0,0.0,29.62,4.83,0.0
20200419:1230,0.0,0.0,0.0,28.97,4.55,0.0
20200419:1330,0.0,0.0,0.0,28.58,4.07,0.0
20200419:1430,0.0,0.0,0.0,28.32,3.72,0.0
20200419:1530,0.0,0.0,0.0,28.07,3.93,0.0
20200419:1630,0.0,0.0,0.0,27.85,3.93,0.0
20200419:1730,0.0,0.0,0.0,27.52,4.0,0.0
20200419:1830,0.0,0.0,0.0,27.2,4.0,0.0
20200419:1930,0.0,0.0,0.0,27.45,4.0,0.0
20200419:2030,0.0,0.0,0.0,27.38,3.79,0.0
20200419:2130,0.0,0.0,-2.55,27.18,4.0,0.0
20200419:2230,320.81,405.57,11.94,27.18,4.14,0.0
20200419:2330,411.7,519.63,26.52,27.64,4.97,0.0
20200420:0030,593.87,761.75,41.25,28.34,5.31,0.0
20200420:0130,653.58,852.18,55.92,29.54,5.31,0.0
20200420:0230,624.09,816.17,70.62,30.19,4.97,0.0
20200420:0330,616.76,811.06,85.28,31.1,4.62,0.0
20200420:0430,577.09,756.89,79.9,31.58,4.76,0.0
20200420:0530,627.23,826.53,65.21,31.89,5.17,0.0
20200420:0630,592.48,774.6,50.52,32.07,5.66,0.0
20200420:0730,423.55,544.52,35.86,31.37,5.59,0.0
20200420:0830,229.61,298.83,21.25,30.96,5.66,0.0
20200420:0930,199.13,259.42,6.71,30.2,5.31,0.0
20200420:1030,0.0,0.0,0.0,29.41,4.9,0.0
20200420:1130,0.0,0.0,0.0,28.96,4.21,0.0
20200420:1230,0.0,0.0,0.0,28.72,3.93,0.0
20200420:1330,0.0,0.0,0.0,28.43,4.07,0.0
20200420:1430,0.0,0.0,0.0,28.11,4.69,0.0
20200420:1530,0.0,0.0,0.0,27.44,4.76,0.0
20200420:1630,0.0,0.0,0.0,26.85,4.69,0.0
20200420:1730,0.0,0.0,0.0,26.46,4.28,0.0
20200420:1830,0.0,0.0,0.0,26.07,4.41,0.0
20200420:1930,0.0,0.0,0.0,26.32,4.83,0.0
20200420:2030,0.0,0.0,0.0,26.26,4.48,0.0
20200420:2130,0.0,0.0,-2.43,26.28,4.55,0.0
20200420:2230,51.04,79.72,12.05,26.36,4.48,0.0
20200420:2330,273.84,349.07,26.62,26.9,4.97,0.0
20200421:0030,406.1,518.31,41.33,27.87,5.1,0.0
20200421:0130,413.42,530.33,55.99,28.82,4.9,0.0
20200421:0230,474.83,616.92,70.67,29.61,4.34,0.0
20200421:0330,617.71,815.08,85.27,30.37,4.14,0.0
20200421:0430,529.3,695.53,79.82,31.32,4.21,0.0
20200421:0530,589.83,777.12,65.16,31.5,4.41,0.0
20200421:0630,425.93,554.2,50.49,31.43,4.62,0.0
20200421:0730,373.23,481.09,35.84,30.99,5.1,0.0
20200421:0830,353.2,451.96,21.24,30.58,5.45,0.0
20200421:0930,259.14,332.31,6.71,29.99,5.24,0.0
20200421:1030,0.0,0.0,0.0,29.26,4.83,0.0
20200421:1130,0.0,0.0,0.0,28.66,4.41,0.0
20200421:1230,0.0,0.0,0.0,28.19,4.14,0.0
20200421:1330,0.0,0.0,0.0,27.81,4.28,0.0
20200421:1430,0.0,0.0,0.0,27.51,4.41,0.0
20200421:1530,0.0,0.0,0.0,27.27,4.55,0.0
20200421:1630,0.0,0.0,0.0,27.0,4.48,0.0
20200421:1730,0.0,0.0,0.0,26.72,4.21,0.0
20200421:1830,0.0,0.0,0.0,26.46,3.93,0.0
20200421:1930,0.0,0.0,0.0,26.49,4.07,0.0
20200421:2030,0.0,0.0,0.0,26.37,3.86,0.0
20200421:2130,0.0,0.0,-2.31,26.28,3.72,0.0
20200421:2230,500.1,634.55,12.15,26.11,3.45,0.0
20200421:2330,667.51,868.27,26.71,27.2,3.86,0.0
20200422:0030,711.11,937.43,41.4,28.88,4.21,0.0
20200422:0130,740.43,986.13,56.05,30.31,4.48,0.0
20200422:0230,666.21,883.06,70.71,31.62,4.69,0.0
20200422:0330,724.35,968.66,85.23,32.52,4.9,0.0
20200422:0430,732.87,985.31,79.74,33.15,4.9,0.0
20200422:0530,622.75,826.16,65.11,33.41,5.03,0.0
20200422:0630,602.17,793.46,50.45,33.11,5.17,0.0
20200422:0730,572.04,748.74,35.81,32.85,5.38,0.0
20200422:0830,439.5,565.78,21.23,32.31,5.59,0.0
20200422:0930,315.97,404.12,6.72,31.44,5.52,0.0
20200422:1030,0.0,0.0,0.0,30.34,5.17,0.0
20200422:1130,0.0,0.0,0.0,29.44,4.76,0.0
20200422:1230,0.0,0.0,0.0,28.77,4.62,0.0
20200422:1330,0.0,0.0,0.0,28.33,4.34,0.0
20200422:1430,0.0,0.0,0.0,27.93,4.21,0.0
20200422:1530,0.0,0.0,0.0,27.47,3.72,0.0
20200422:1630,0.0,0.0,0.0,27.04,3.79,0.0
20200422:1730,0.0,0.0,0.0,26.71,4.07,0.0
20200422:1830,0.0,0.0,0.0,26.33,4.28,0.0
20200422:1930,0.0,0.0,0.0,26.39,4.28,0.0
20200422:2030,0.0,0.0,0.0,26.18,4.21,0.0
20200422:2130,0.0,0.0,-2.19,26.05,4.07,0.0
20200422:2230,416.84,523.52,12.25,25.94,4.0,0.0
20200422:2330,598.98,763.35,26.79,26.86,4.9,0.0
20200423:0030,671.87,866.3,41.47,28.37,5.59,0.0
20200423:0130,716.66,935.38,56.1,29.67,5.93,0.0
20200423:0230,734.54,964.48,70.74,31.09,6.28,0.0
20200423:0330,701.75,919.36,85.16,32.1,6.55,0.0
20200423:0430,714.22,940.17,79.64,32.69,6.69,0.0
20200423:0530,747.74,992.56,65.05,33.07,6.76,0.0
20200423:0630,693.37,912.99,50.41,33.16,6.83,0.0
20200423:0730,667.69,870.49,35.79,32.31,7.1,0.0
20200423:0830,603.35,779.03,21.22,31.86,6.9,0.0
20200423:0930,376.81,478.65,6.72,30.98,6.41,0.0
20200423:1030,0.0,0.0,0.0,29.77,5.31,0.0
20200423:1130,0.0,0.0,0.0,28.78,5.1,0.0
20200423:1230,0.0,0.0,0.0,28.15,5.38,0.0
20200423:1330,0.0,0.0,0.0,27.78,5.38,0.0
20200423:1430,0.0,0.0,0.0,27.62,5.1,0.0
20200423:1530,0.0,0.0,0.0,27.47,4.9,0.0
20200423:1630,0.0,0.0,0.0,27.3,5.17,0.0
20200423:1730,0.0,0.0,0.0,26.96,5.59,0.0
20200423:1830,0.0,0.0,0.0,26.7,5.1,0.0
20200423:1930,0.0,0.0,0.0,27.02,5.31,0.0
20200423:2030,0.0,0.0,0.0,26.98,5.1,0.0
20200423:2130,0.0,0.0,-2.07,26.92,5.1,0.0
20200423:2230,337.78,423.76,12.35,26.82,5.31,0.0
20200423:2330,516.87,652.15,26.88,27.34,5.79,0.0
20200424:0030,573.42,732.25,41.54,28.5,6.07,0.0
20200424:0130,574.45,738.84,56.15,29.31,5.52,0.0
20200424:0230,582.54,753.38,70.77,29.92,5.52,0.0
20200424:0330,641.03,830.03,85.08,30.34,6.0,0.0
20200424:0430,592.19,767.82,79.54,31.0,5.93,0.0
20200424:0530,603.96,786.05,64.99,31.62,5.86,0.0
20200424:0630,445.44,573.12,50.37,31.22,6.14,0.0
20200424:0730,543.46,701.74,35.77,31.32,5.93,0.0
20200424:0830,457.81,585.55,21.21,30.97,6.07,0.0
20200424:0930,328.43,416.91,6.73,30.33,6.07,0.0
20200424:1030,0.0,0.0,0.0,29.43,5.52,0.0
20200424:1130,0.0,0.0,0.0,28.73,5.03,0.0
20200424:1230,0.0,0.0,0.0,28.31,5.1,0.0
20200424:1330,0.0,0.0,0.0,28.05,5.03,0.0
20200424:1430,0.0,0.0,0.0,27.69,4.76,0.0
20200424:1530,0.0,0.0,0.0,27.27,4.76,0.0
20200424:1630,0.0,0.0,0.0,26.81,4.83,0.0
20200424:1730,0.0,0.0,0.0,26.58,4.97,0.0
20200424:1830,0.0,0.0,0.0,26.21,5.03,0.0
20200424:1930,0.0,0.0,0.0,26.5,4.97,0.0
20200424:2030,0.0,0.0,0.0,26.38,5.38,0.0
20200424:2130,0.0,0.0,-1.96,26.36,5.03,0.0
20200424:2230,268.69,337.5,12.45,26.3,5.59,0.0
20200424:2330,460.16,575.86,26.96,26.66,6.34,0.0
20200425:0030,574.57,727.97,41.6,27.9,6.41,0.0
20200425:0130,601.28,770.42,56.2,29.12,6.07,0.0
20200425:0230,679.41,885.79,70.78,30.11,5.86,0.0
20200425:0330,697.35,912.82,84.97,31.23,6.14,0.0
20200425:0430,637.24,829.84,79.43,31.81,6.48,0.0
20200425:0530,700.69,920.07,64.93,32.01,6.55,0.0
20200425:0630,648.55,847.51,50.33,32.2,6.62,0.0
20200425:0730,557.07,718.1,35.74,32.12,6.83,0.0
20200425:0830,429.34,547.02,21.2,31.56,6.69,0.0
20200425:0930,289.61,369.59,6.74,30.82,6.21,0.0
20200425:1030,0.0,0.0,0.0,29.86,5.31,0.0
20200425:1130,0.0,0.0,0.0,29.07,5.17,0.0
20200425:1230,0.0,0.0,0.0,28.51,4.97,0.0
20200425:1330,0.0,0.0,0.0,28.05,4.83,0.0
20200425:1430,0.0,0.0,0.0,27.7,4.9,0.0
20200425:1530,0.0,0.0,0.0,27.4,5.03,0.0
20200425:1630,0.0,0.0,0.0,27.2,5.03,0.0
20200425:1730,0.0,0.0,0.0,27.07,4.9,0.0
20200425:1830,0.0,0.0,0.0,26.86,4.76,0.0
20200425:1930,0.0,0.0,0.0,26.84,5.1,0.0
20200425:2030,0.0,0.0,0.0,26.7,5.1,0.0
20200425:2130,0.0,0.0,-1.85,26.57,5.03,0.0
20200425:2230,448.83,563.2,12.54,26.59,4.9,0.0
20200425:2330,633.53,807.1,27.04,27.35,5.86,0.0
20200426:0030,589.29,750.22,41.66,28.52,6.41,0.0
20200426:0130,635.61,817.77,56.24,29.34,6.41,0.0
20200426:0230,654.87,847.83,70.79,30.22,6.48,0.0
20200426:0330,689.47,897.38,84.84,30.89,6.55,0.0
20200426:0430,682.66,890.84,79.31,31.48,6.48,0.0
20200426:0530,691.22,907.38,64.87,32.01,6.48,0.0
20200426:0630,649.31,848.09,50.29,32.2,6.34,0.0
20200426:0730,535.65,691.6,35.72,32.32,6.48,0.0
20200426:0830,540.61,694.47,21.19,31.6,6.48,0.0
20200426:0930,350.27,444.88,6.75,31.04,6.48,0.0
20200426:1030,0.0,0.0,0.0,29.82,5.59,0.0
20200426:1130,0.0,0.0,0.0,28.95,4.9,0.0
20200426:1230,0.0,0.0,0.0,28.48,5.03,0.0
20200426:1330,0.0,0.0,0.0,28.15,4.76,0.0
20200426:1430,0.0,0.0,0.0,27.81,4.69,0.0
20200426:1530,0.0,0.0,0.0,27.54,4.69,0.0
20200426:1630,0.0,0.0,0.0,27.09,4.83,0.0
20200426:1730,0.0,0.0,0.0,26.78,4.76,0.0
20200426:1830,0.0,0.0,0.0,26.42,4.62,0.0
20200426:1930,0.0,0.0,0.0,26.45,5.17,0.0
20200426:2030,0.0,0.0,0.0,26.3,5.24,0.0
20200426:2130,0.0,0.0,-1.74,26.15,5.17,0.0
20200426:2230,429.49,537.02,12.63,26.1,5.03,0.0
20200426:2330,638.11,811.41,27.11,26.99,5.93,0.0
20200427:0030,650.19,832.82,41.71,28.6,6.62,0.0
20200427:0130,662.1,852.43,56.27,29.98,7.1,0.0
20200427:0230,677.38,878.53,70.8,30.98,7.45,0.0
20200427:0330,705.9,920.18,84.7,31.86,7.38,0.0
20200427:0430,723.11,949.71,79.19,32.46,7.17,0.0
20200427:0530,660.96,865.66,64.81,32.83,6.97,0.0
20200427:0630,537.95,698.11,50.25,32.69,6.76,0.0
20200427:0730,490.39,631.13,35.7,32.04,6.76,0.0
20200427:0830,239.0,309.74,21.19,31.17,6.55,0.0
20200427:0930,212.24,274.72,6.76,30.08,6.0,0.0
20200427:1030,0.0,0.0,0.0,29.11,5.45,0.0
20200427:1130,0.0,0.0,0.0,28.41,5.1,0.0
20200427:1230,0.0,0.0,0.0,27.94,5.03,0.0
20200427:1330,0.0,0.0,0.0,27.54,5.24,0.0
20200427:1430,0.0,0.0,0.0,27.17,5.03,0.0
20200427:1530,0.0,0.0,0.0,26.87,4.97,0.0
20200427:1630,0.0,0.0,0.0,26.51,4.69,0.0
20200427:1730,0.0,0.0,0.0,26.21,4.55,0.0
20200427:1830,0.0,0.0,0.0,26.03,4.48,0.0
20200427:1930,0.0,0.0,0.0,26.15,5.03,0.0
20200427:2030,0.0,0.0,0.0,26.0,4.76,0.0
20200427:2130,0.0,0.0,-1.64,25.82,4.76,0.0
20200427:2230,320.36,402.04,12.71,25.84,4.97,0.0
20200427:2330,515.85,650.8,27.18,26.75,5.79,0.0
20200428:0030,624.28,797.04,41.76,28.15,6.76,0.0
20200428:0130,641.97,826.75,56.3,29.33,6.97,0.0
20200428:0230,609.17,788.4,70.8,30.26,7.1,0.0
20200428:0330,586.19,757.31,84.54,30.76,7.31,0.0
20200428:0430,601.23,777.97,79.06,30.62,7.38,0.0
20200428:0530,534.31,685.17,64.74,30.4,7.79,0.0
20200428:0630,484.15,619.05,50.22,30.29,7.59,0.0
20200428:0730,356.37,455.15,35.68,30.31,6.55,0.0
20200428:0830,220.79,286.16,21.19,29.65,6.34,0.0
20200428:0930,207.17,267.49,6.78,28.99,5.59,0.0
20200428:1030,0.0,0.0,0.0,28.56,5.1,0.0
20200428:1130,0.0,0.0,0.0,28.12,4.69,0.0
20200428:1230,0.0,0.0,0.0,27.86,4.69,0.0
20200428:1330,0.0,0.0,0.0,27.6,4.48,0.0
20200428:1430,0.0,0.0,0.0,27.38,4.41,0.0
20200428:1530,0.0,0.0,0.0,27.14,4.41,0.0
20200428:1630,0.0,0.0,0.0,27.05,4.55,0.0
20200428:1730,0.0,0.0,0.0,26.74,4.55,0.0
20200428:1830,0.0,0.0,0.0,26.54,4.48,0.0
20200428:1930,0.0,0.0,0.0,26.47,4.62,0.0
20200428:2030,0.0,0.0,0.0,26.36,4.55,0.0
20200428:2130,0.0,0.0,-1.54,26.28,4.41,0.0
20200428:2230,413.38,519.08,12.8,26.28,4.41,0.0
20200428:2330,516.92,655.55,27.25,27.32,5.17,0.0
20200429:0030,653.27,843.61,41.81,28.51,5.52,0.0
20200429:0130,671.72,874.51,56.33,29.9,5.79,0.0
20200429:0230,667.12,873.19,70.79,31.12,6.0,0.0
20200429:0330,735.22,971.73,84.37,31.86,6.28,0.0
20200429:0430,652.92,855.08,78.93,32.54,6.48,0.0
20200429:0530,659.68,864.62,64.68,32.6,6.48,0.0
20200429:0630,660.84,866.96,50.18,32.75,6.55,0.0
20200429:0730,620.83,809.78,35.66,32.34,6.14,0.0
20200429:0830,579.7,750.37,21.18,31.97,6.21,0.0
20200429:0930,379.97,483.45,6.79,31.12,6.21,0.0
20200429:1030,0.0,0.0,0.0,29.83,5.52,0.0
20200429:1130,0.0,0.0,0.0,28.79,5.31,0.0
20200429:1230,0.0,0.0,0.0,28.06,5.31,0.0
20200429:1330,0.0,0.0,0.0,27.56,5.31,0.0
20200429:1430,0.0,0.0,0.0,27.25,5.17,0.0
20200429:1530,0.0,0.0,0.0,26.94,5.03,0.0
20200429:1630,0.0,0.0,0.0,26.77,4.62,0.0
20200429:1730,0.0,0.0,0.0,26.58,4.28,0.0
20200429:1830,0.0,0.0,0.0,26.39,4.48,0.0
20200429:1930,0.0,0.0,0.0,26.59,4.48,0.0
20200429:2030,0.0,0.0,0.0,26.52,4.55,0.0
20200429:2130,0.0,0.0,-1.44,26.41,4.62,0.0
20200429:2230,174.25,227.67,12.88,26.55,4.62,0.0
20200429:2330,441.75,558.47,27.31,27.33,5.31,0.0
20200430:0030,625.2,803.55,41.85,28.48,5.72,0.0
20200430:0130,690.59,898.63,56.35,29.75,6.0,0.0
20200430:0230,625.08,810.73,70.77,30.92,6.28,0.0
20200430:0330,676.03,881.1,84.18,31.51,6.48,0.0
20200430:0430,645.22,841.35,78.8,31.87,6.69,0.0
20200430:0530,515.39,667.98,64.61,31.97,6.41,0.0
20200430:0630,494.95,635.12,50.14,31.0,6.34,0.0
20200430:0730,394.47,506.62,35.64,31.26,5.52,0.0
20200430:0830,207.96,271.99,21.18,31.06,5.03,0.0
20200430:0930,175.62,230.86,6.81,30.44,4.97,0.0
20200430:1030,0.0,0.0,0.0,29.62,4.69,0.0
20200430:1130,0.0,0.0,0.0,28.89,4.55,0.0
20200430:1230,0.0,0.0,0.0,28.46,4.55,0.0
20200430:1330,0.0,0.0,0.0,28.08,4.28,0.0
20200430:1430,0.0,0.0,0.0,27.72,4.28,0.0
20200430:1530,0.0,0.0,0.0,27.37,4.34,0.0
20200430:1630,0.0,0.0,0.0,27.01,4.21,0.0
20200430:1730,0.0,0.0,0.0,26.71,4.14,0.0
20200430:1830,0.0,0.0,0.0,26.39,4.14,0.0
20200430:1930,0.0,0.0,0.0,26.31,4.14,0.0
20200430:2030,0.0,0.0,0.0,26.3,4.28,0.0
20200430:2130,0.0,0.0,-1.34,26.27,4.34,0.0
20200430:2230,315.71,397.91,12.95,26.34,4.14,0.0
20200430:2330,511.74,647.97,27.37,27.2,5.03,0.0
20200501:0030,619.72,797.57,41.89,28.52,5.45,0.0
20200501:0130,761.11,1004.39,56.37,29.71,5.38,0.0
20200501:0230,710.06,939.28,70.75,31.15,5.24,0.0
20200501:0330,719.93,961.97,83.99,32.07,5.03,0.0
20200501:0430,670.62,898.57,78.66,32.89,4.76,0.0
20200501:0530,604.77,808.6,64.55,33.24,4.69,0.0
20200501:0630,542.74,718.82,50.1,33.3,4.76,0.0
20200501:0730,433.8,566.33,35.62,32.98,5.17,0.0
20200501:0830,240.2,315.45,21.18,32.34,5.38,0.0
20200501:0930,187.54,246.48,6.83,31.21,5.72,0.0
20200501:1030,0.0,0.0,0.0,30.11,5.52,0.0
20200501:1130,0.0,0.0,0.0,29.32,5.31,0.0
20200501:1230,0.0,0.0,0.0,28.75,5.1,0.0
